sort_index,file_path,relative_file_path,path_base,title,document_date,effective_date,source_page_date,source_page_url,source_page_title,crawl_date,file_mtime,date_source,date_confidence,legal_sort_bucket,legal_sort_date,legal_sort_confidence,legal_sort_group,legal_sort_sequence,sort_policy_source,sort_policy_reason,relationship_hint,original_file_url,url_status,url_ok,url_source,notes
217,ctsv/bai-viet/pdf/45_qd_dhcntt_ctsv19_11_2015_scan-c2c89a53.pdf,ctsv/bai-viet/pdf/45_qd_dhcntt_ctsv19_11_2015_scan-c2c89a53.pdf,manifest_dir,45_qd_dhcntt_ctsv19_11_2015_scan-c2c89a53.pdf,2015-11-19,2015-11-19,2015-11-19,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:23:42.718801,title,high,document_date,2015-11-19,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201511/45_qd_dhcntt_ctsv19_11_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
218,ctsv/bai-viet/pdf/46_qd_dhcntt_ctsv19_11_2015_scan-c3945a5e.pdf,ctsv/bai-viet/pdf/46_qd_dhcntt_ctsv19_11_2015_scan-c3945a5e.pdf,manifest_dir,46_qd_dhcntt_ctsv19_11_2015_scan-c3945a5e.pdf,2015-11-19,2015-11-19,2015-11-19,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:23:48.655616,title,high,document_date,2015-11-19,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201511/46_qd_dhcntt_ctsv19_11_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
219,ctsv/bai-viet/pdf/47_qd_dhcntt_ctsv19_11_2015_scan-730c758d.pdf,ctsv/bai-viet/pdf/47_qd_dhcntt_ctsv19_11_2015_scan-730c758d.pdf,manifest_dir,47_qd_dhcntt_ctsv19_11_2015_scan-730c758d.pdf,2015-11-19,2015-11-19,2015-11-19,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:23:53.885716,title,high,document_date,2015-11-19,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201511/47_qd_dhcntt_ctsv19_11_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
220,ctsv/bai-viet/pdf/2124_dhqg_qhdn_20_11_2015-067dfff1.pdf,ctsv/bai-viet/pdf/2124_dhqg_qhdn_20_11_2015-067dfff1.pdf,manifest_dir,2124_dhqg_qhdn_20_11_2015-067dfff1.pdf,2015-11-20,2015-11-20,2015-10-06,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-chuong-trinh-hoc-bong-cheer-saic-2015-2016#main),2026-07-09,2026-07-09T11:46:42.608071,title,high,document_date,2015-11-20,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201511/2124_dhqg_qhdn_20_11_2015.pdf,unchecked,false,metadata_file_path,from_metadata
221,ctsv/bai-viet/pdf/2205_dhqg_ctsv_02_12_2015-31d203f0.pdf,ctsv/bai-viet/pdf/2205_dhqg_ctsv_02_12_2015-31d203f0.pdf,manifest_dir,2205_dhqg_ctsv_02_12_2015-31d203f0.pdf,2015-12-02,2015-12-02,2015-12-02,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/hoc-bong-cathay-nam-2015-danh-cho-sinh-vien-nam-nhat#main),2026-07-09,2026-07-09T10:53:35.213844,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/2205_dhqg_ctsv_02_12_2015.pdf,unchecked,false,metadata_file_path,from_metadata
222,ctsv/bai-viet/pdf/2205_dhqg_ctsv_02_12_2015-da1a4b0a.pdf,ctsv/bai-viet/pdf/2205_dhqg_ctsv_02_12_2015-da1a4b0a.pdf,manifest_dir,2205_dhqg_ctsv_02_12_2015-da1a4b0a.pdf,2015-12-02,2015-12-02,2018-08-31,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/xet-chon-bo-sung-sinh-vien-nhan-hoc-bong-cathay#main),2026-07-09,2026-07-09T11:42:26.654839,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201808/2205_dhqg_ctsv_02_12_2015.pdf,unchecked,false,metadata_file_path,from_metadata
223,ctsv/bai-viet/pdf/48_qd_dhcntt_ctsv02_12_2015_scan-55eb344c.pdf,ctsv/bai-viet/pdf/48_qd_dhcntt_ctsv02_12_2015_scan-55eb344c.pdf,manifest_dir,48_qd_dhcntt_ctsv02_12_2015_scan-55eb344c.pdf,2015-12-02,2015-12-02,2015-12-02,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:24:03.974696,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/48_qd_dhcntt_ctsv02_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
224,ctsv/bai-viet/pdf/49_qd_dhcntt_ctsv02_12_2015_scan-c139f5cb.pdf,ctsv/bai-viet/pdf/49_qd_dhcntt_ctsv02_12_2015_scan-c139f5cb.pdf,manifest_dir,49_qd_dhcntt_ctsv02_12_2015_scan-c139f5cb.pdf,2015-12-02,2015-12-02,2015-12-02,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:24:16.667856,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/49_qd_dhcntt_ctsv02_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
225,ctsv/bai-viet/pdf/50_qd_dhcntt_ctsv02_12_2015_scan-94056a06.pdf,ctsv/bai-viet/pdf/50_qd_dhcntt_ctsv02_12_2015_scan-94056a06.pdf,manifest_dir,50_qd_dhcntt_ctsv02_12_2015_scan-94056a06.pdf,2015-12-02,2015-12-02,2015-12-02,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:24:30.712808,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/50_qd_dhcntt_ctsv02_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
226,ctsv/bai-viet/pdf/51_qd_dhcntt_ctsv02_12_2015_scan-2446be0c.pdf,ctsv/bai-viet/pdf/51_qd_dhcntt_ctsv02_12_2015_scan-2446be0c.pdf,manifest_dir,51_qd_dhcntt_ctsv02_12_2015_scan-2446be0c.pdf,2015-12-02,2015-12-02,2015-12-02,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:24:39.992074,title,high,document_date,2015-12-02,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/51_qd_dhcntt_ctsv02_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
227,ctsv/bai-viet/pdf/85-dhcntt-dtdh3-12-15-5dea008a.pdf,ctsv/bai-viet/pdf/85-dhcntt-dtdh3-12-15-5dea008a.pdf,manifest_dir,85-dhcntt-dtdh3-12-15-5dea008a.pdf,,,2015-12-03,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-ve-viec-trien-khai-kenh-thong-tin-lien-lac-voi-phu-huynh#main),2026-07-09,2026-07-09T11:56:45.833471,missing,low,source_page_date,2015-12-03,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/85-dhcntt-dtdh3-12-15.pdf,unchecked,false,metadata_file_path,from_metadata
228,ctsv/bai-viet/pdf/ho_tro_cp_hoc_tap_cho_sv_khuyet_tat_hk1_2015-2016-4b4463c7.pdf,ctsv/bai-viet/pdf/ho_tro_cp_hoc_tap_cho_sv_khuyet_tat_hk1_2015-2016-4b4463c7.pdf,manifest_dir,ho_tro_cp_hoc_tap_cho_sv_khuyet_tat_hk1_2015-2016-4b4463c7.pdf,,,2015-12-08,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-thoi-gian-nhan-tien-tro-cap-xa-hoi-va-sinh-vien-khuyet-tat-duoc-ho-tro-mua-chi#main),2026-07-09,2026-07-09T11:54:16.492316,missing,low,source_page_date,2015-12-08,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/ho_tro_cp_hoc_tap_cho_sv_khuyet_tat_hk1_2015-2016.pdf,unchecked,false,metadata_file_path,from_metadata
229,ctsv/bai-viet/pdf/tro_cap_xa_hoi_hk1_2015-2016-8198e98b.pdf,ctsv/bai-viet/pdf/tro_cap_xa_hoi_hk1_2015-2016-8198e98b.pdf,manifest_dir,tro_cap_xa_hoi_hk1_2015-2016-8198e98b.pdf,,,2015-12-08,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-thoi-gian-nhan-tien-tro-cap-xa-hoi-va-sinh-vien-khuyet-tat-duoc-ho-tro-mua-chi#main),2026-07-09,2026-07-09T11:54:16.412625,missing,low,source_page_date,2015-12-08,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/tro_cap_xa_hoi_hk1_2015-2016.pdf,unchecked,false,metadata_file_path,from_metadata
230,ctsv/bai-viet/pdf/52_qd_dhcntt_ctsv10_12_2015_scan-4566231a.pdf,ctsv/bai-viet/pdf/52_qd_dhcntt_ctsv10_12_2015_scan-4566231a.pdf,manifest_dir,52_qd_dhcntt_ctsv10_12_2015_scan-4566231a.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:25:10.007504,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/52_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
231,ctsv/bai-viet/pdf/53_qd_dhcntt_ctsv10_12_2015_scan-3e5d83e2.pdf,ctsv/bai-viet/pdf/53_qd_dhcntt_ctsv10_12_2015_scan-3e5d83e2.pdf,manifest_dir,53_qd_dhcntt_ctsv10_12_2015_scan-3e5d83e2.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:25:39.913054,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/53_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
232,ctsv/bai-viet/pdf/54_qd_dhcntt_ctsv10_12_2015_scan-cfdd339e.pdf,ctsv/bai-viet/pdf/54_qd_dhcntt_ctsv10_12_2015_scan-cfdd339e.pdf,manifest_dir,54_qd_dhcntt_ctsv10_12_2015_scan-cfdd339e.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:25:53.851192,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/54_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
233,ctsv/bai-viet/pdf/55_qd_dhcntt_ctsv10_12_2015_scan-e01fca2c.pdf,ctsv/bai-viet/pdf/55_qd_dhcntt_ctsv10_12_2015_scan-e01fca2c.pdf,manifest_dir,55_qd_dhcntt_ctsv10_12_2015_scan-e01fca2c.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:26:11.573426,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/55_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
234,ctsv/bai-viet/pdf/56_qd_dhcntt_ctsv10_12_2015_scan-5b2b53cc.pdf,ctsv/bai-viet/pdf/56_qd_dhcntt_ctsv10_12_2015_scan-5b2b53cc.pdf,manifest_dir,56_qd_dhcntt_ctsv10_12_2015_scan-5b2b53cc.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:26:27.031949,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/56_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
235,ctsv/bai-viet/pdf/57_qd_dhcntt_ctsv10_12_2015_scan-b46629b5.pdf,ctsv/bai-viet/pdf/57_qd_dhcntt_ctsv10_12_2015_scan-b46629b5.pdf,manifest_dir,57_qd_dhcntt_ctsv10_12_2015_scan-b46629b5.pdf,2015-12-10,2015-12-10,2015-12-10,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:26:37.098844,title,high,document_date,2015-12-10,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/57_qd_dhcntt_ctsv10_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
236,ctsv/bai-viet/pdf/tb_mua_bhyt_2015-_dot_2-56ea5aab.pdf,ctsv/bai-viet/pdf/tb_mua_bhyt_2015-_dot_2-56ea5aab.pdf,manifest_dir,tb_mua_bhyt_2015-_dot_2-56ea5aab.pdf,,,2015-12-17,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-mua-bhyt-dot-2-bo-sung#main),2026-07-09,2026-07-09T11:51:28.439031,missing,low,source_page_date,2015-12-17,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/tb_mua_bhyt_2015-_dot_2.pdf,unchecked,false,metadata_file_path,from_metadata
237,ctsv/bai-viet/pdf/thutunhanbang-f9eab025.pdf,ctsv/bai-viet/pdf/thutunhanbang-f9eab025.pdf,manifest_dir,thutunhanbang-f9eab025.pdf,,,2015-12-17,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/so-do-cho-ngoi-le-tot-nghiep-dot-2-nam-2015#main),2026-07-09,2026-07-09T11:35:53.511185,missing,low,source_page_date,2015-12-17,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/thutunhanbang.pdf,unchecked,false,metadata_file_path,from_metadata
238,ctsv/bai-viet/pdf/tb_le_trao_bang_dot_2-_2015-42a02468.pdf,ctsv/bai-viet/pdf/tb_le_trao_bang_dot_2-_2015-42a02468.pdf,manifest_dir,tb_le_trao_bang_dot_2-_2015-42a02468.pdf,,,2015-12-19,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-ve-viec-lam-le-tot-nghiep-va-trao-bang-dot-2-nam-2015#main),2026-07-09,2026-07-09T11:55:51.790065,missing,low,source_page_date,2015-12-19,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/tb_le_trao_bang_dot_2-_2015.pdf,unchecked,false,metadata_file_path,from_metadata
239,ctsv/bai-viet/pdf/dssv_tham_gia_bhyt_-_khong_tham_gia_bhyt-f0545f41.pdf,ctsv/bai-viet/pdf/dssv_tham_gia_bhyt_-_khong_tham_gia_bhyt-f0545f41.pdf,manifest_dir,dssv_tham_gia_bhyt_-_khong_tham_gia_bhyt-f0545f41.pdf,,,2015-12-22,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/danh-sach-sinh-vien-tham-gia-bhyt-va-khong-tham-gia-bhyt#main),2026-07-09,2026-07-09T10:50:42.187960,missing,low,source_page_date,2015-12-22,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201512/dssv_tham_gia_bhyt_-_khong_tham_gia_bhyt.pdf,unchecked,false,metadata_file_path,from_metadata
240,ctsv/bai-viet/pdf/58_qd_dhcntt_ctsv31_12_2015_scan-69eef9e6.pdf,ctsv/bai-viet/pdf/58_qd_dhcntt_ctsv31_12_2015_scan-69eef9e6.pdf,manifest_dir,58_qd_dhcntt_ctsv31_12_2015_scan-69eef9e6.pdf,2015-12-31,2015-12-31,2015-12-31,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/quyet-dinh-so-58-592015-cong-tac-co-van-hoc-tap-lop-antn2014#main),2026-07-09,2026-07-09T11:26:52.495495,title,high,document_date,2015-12-31,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201601/58_qd_dhcntt_ctsv31_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
241,ctsv/bai-viet/pdf/59_qd_dhcntt_ctsv31_12_2015_scan-a12ae631.pdf,ctsv/bai-viet/pdf/59_qd_dhcntt_ctsv31_12_2015_scan-a12ae631.pdf,manifest_dir,59_qd_dhcntt_ctsv31_12_2015_scan-a12ae631.pdf,2015-12-31,2015-12-31,2015-12-31,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:26:52.372522,title,high,document_date,2015-12-31,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201601/59_qd_dhcntt_ctsv31_12_2015_scan.pdf,unchecked,false,metadata_file_path,from_metadata
242,ctsv/bai-viet/pdf/ds4-88898bf4.pdf,ctsv/bai-viet/pdf/ds4-88898bf4.pdf,manifest_dir,ds4-88898bf4.pdf,,,2016-01-18,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-ve-viec-chuc-thi-lai-tuan-sinh-hoat-cong-dan-sinh-vien-dau-khoa-dau-nam-va-ket#main),2026-07-09,2026-07-09T11:55:12.817673,missing,low,source_page_date,2016-01-18,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201601/ds4.pdf,unchecked,false,metadata_file_path,from_metadata
243,ctsv/bai-viet/pdf/02_kh_dhcntt_ctsv29_01_2016-scan-37110fb4.pdf,ctsv/bai-viet/pdf/02_kh_dhcntt_ctsv29_01_2016-scan-37110fb4.pdf,manifest_dir,02_kh_dhcntt_ctsv29_01_2016-scan-37110fb4.pdf,2016-01-29,2016-01-29,2016-01-29,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T10:35:34.416785,title,high,document_date,2016-01-29,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/02_kh_dhcntt_ctsv29_01_2016.scan_.pdf,unchecked,false,metadata_file_path,from_metadata
244,ctsv/bai-viet/pdf/01_qd_dhcntt_ctsv17_02_2016_scan-9f40bee3.pdf,ctsv/bai-viet/pdf/01_qd_dhcntt_ctsv17_02_2016_scan-9f40bee3.pdf,manifest_dir,01_qd_dhcntt_ctsv17_02_2016_scan-9f40bee3.pdf,2016-02-17,2016-02-17,2016-02-17,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:11:21.996423,title,high,document_date,2016-02-17,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201602/01_qd_dhcntt_ctsv17_02_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
245,ctsv/bai-viet/pdf/03_kh_dhcntt_ctsv22_2_2016_scan-365fbf2c.pdf,ctsv/bai-viet/pdf/03_kh_dhcntt_ctsv22_2_2016_scan-365fbf2c.pdf,manifest_dir,03_kh_dhcntt_ctsv22_2_2016_scan-365fbf2c.pdf,2016-02-22,2016-02-22,2016-02-22,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T10:35:41.788479,title,high,document_date,2016-02-22,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/03_kh_dhcntt_ctsv22_2_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
246,ctsv/bai-viet/pdf/tb_hb_mobifone_2016-b8f30c93.pdf,ctsv/bai-viet/pdf/tb_hb_mobifone_2016-b8f30c93.pdf,manifest_dir,tb_hb_mobifone_2016-b8f30c93.pdf,,,2016-02-23,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-hoc-bong-mobifone#main),2026-07-09,2026-07-09T11:49:30.444083,missing,low,source_page_date,2016-02-23,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201602/tb_hb_mobifone_2016.pdf,unchecked,false,metadata_file_path,from_metadata
247,ctsv/bai-viet/pdf/02_qd_dhcntt_ctsv24_02_2016_scan-9a2e060d.pdf,ctsv/bai-viet/pdf/02_qd_dhcntt_ctsv24_02_2016_scan-9a2e060d.pdf,manifest_dir,02_qd_dhcntt_ctsv24_02_2016_scan-9a2e060d.pdf,2016-02-24,2016-02-24,2016-02-24,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:11:26.498675,title,high,document_date,2016-02-24,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/02_qd_dhcntt_ctsv24_02_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
248,ctsv/bai-viet/pdf/03_hd_ctsv26_2_2016-ad353f24.pdf,ctsv/bai-viet/pdf/03_hd_ctsv26_2_2016-ad353f24.pdf,manifest_dir,03_hd_ctsv26_2_2016-ad353f24.pdf,2016-02-26,2016-02-26,2016-02-26,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T10:56:46.487986,title,high,document_date,2016-02-26,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/03_hd_ctsv26_2_2016.pdf,unchecked,false,metadata_file_path,from_metadata
249,ctsv/bai-viet/pdf/04_kh_dhcntt_ctsv26_2_2016_scan-9169007f.pdf,ctsv/bai-viet/pdf/04_kh_dhcntt_ctsv26_2_2016_scan-9169007f.pdf,manifest_dir,04_kh_dhcntt_ctsv26_2_2016_scan-9169007f.pdf,2016-02-26,2016-02-26,2016-02-26,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T10:35:47.251763,title,high,document_date,2016-02-26,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/04_kh_dhcntt_ctsv26_2_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
250,ctsv/bai-viet/pdf/03_qd_dhcntt_ctsv01_3_2016_scan-da560391.pdf,ctsv/bai-viet/pdf/03_qd_dhcntt_ctsv01_3_2016_scan-da560391.pdf,manifest_dir,03_qd_dhcntt_ctsv01_3_2016_scan-da560391.pdf,2016-03-01,2016-03-01,2016-03-01,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:11:32.718883,title,high,document_date,2016-03-01,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/03_qd_dhcntt_ctsv01_3_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
251,ctsv/bai-viet/pdf/04_qd_dhcntt_ctsv07_3_2016_scan-6cb30b50.pdf,ctsv/bai-viet/pdf/04_qd_dhcntt_ctsv07_3_2016_scan-6cb30b50.pdf,manifest_dir,04_qd_dhcntt_ctsv07_3_2016_scan-6cb30b50.pdf,2016-03-07,2016-03-07,2016-03-07,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:11:37.246190,title,high,document_date,2016-03-07,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/04_qd_dhcntt_ctsv07_3_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
252,ctsv/bai-viet/pdf/05_qd_dhcntt_ctsv7_3_2016_scan-6e2a08b6.pdf,ctsv/bai-viet/pdf/05_qd_dhcntt_ctsv7_3_2016_scan-6e2a08b6.pdf,manifest_dir,05_qd_dhcntt_ctsv7_3_2016_scan-6e2a08b6.pdf,2016-03-07,2016-03-07,2016-03-07,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/quyet-dinh-so-04052016-cong-tac-co-van-hoc-tap-lop-cttt2014#main),2026-07-09,2026-07-09T11:11:37.361897,title,high,document_date,2016-03-07,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/05_qd_dhcntt_ctsv7_3_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
253,ctsv/bai-viet/pdf/07_kh_dhcntt_ctsv07_3_2016_scan-d710e015.pdf,ctsv/bai-viet/pdf/07_kh_dhcntt_ctsv07_3_2016_scan-d710e015.pdf,manifest_dir,07_kh_dhcntt_ctsv07_3_2016_scan-d710e015.pdf,2016-03-07,2016-03-07,2016-03-07,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T10:36:06.010779,title,high,document_date,2016-03-07,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/07_kh_dhcntt_ctsv07_3_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
254,ctsv/bai-viet/pdf/423_dhqg_ctsv_14_3_2016-253f1adb.pdf,ctsv/bai-viet/pdf/423_dhqg_ctsv_14_3_2016-253f1adb.pdf,manifest_dir,423_dhqg_ctsv_14_3_2016-253f1adb.pdf,2016-03-14,2016-03-14,2016-03-14,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/thong-bao-hoc-bong-mobifone#main),2026-07-09,2026-07-09T11:49:30.545488,title,high,document_date,2016-03-14,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/423_dhqg_ctsv_14_3_2016.pdf,unchecked,false,metadata_file_path,from_metadata
255,ctsv/bai-viet/pdf/danh_sach_dk_tuan_shcd-sv_cuoi_khoa_2012-9ee8a274.pdf,ctsv/bai-viet/pdf/danh_sach_dk_tuan_shcd-sv_cuoi_khoa_2012-9ee8a274.pdf,manifest_dir,danh_sach_dk_tuan_shcd-sv_cuoi_khoa_2012-9ee8a274.pdf,,,2016-03-18,,[Skip to content](https://ctsv.uit.edu.vn/bai-viet/lich-hoc-sinh-hoat-cong-dan-sinh-vien-cuoi-khoa-2012-dot-1#main),2026-07-09,2026-07-09T11:07:04.847361,missing,low,source_page_date,2016-03-18,medium,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201603/danh_sach_dk_tuan_shcd-sv_cuoi_khoa_2012.pdf,unchecked,false,metadata_file_path,from_metadata
256,ctsv/bai-viet/pdf/06_qd_dhcntt_ctsv25_3_2016_scan-6ad7c57a.pdf,ctsv/bai-viet/pdf/06_qd_dhcntt_ctsv25_3_2016_scan-6ad7c57a.pdf,manifest_dir,06_qd_dhcntt_ctsv25_3_2016_scan-6ad7c57a.pdf,2016-03-25,2016-03-25,2016-03-25,,"<!DOCTYPE html><html lang=""en"" dir=""ltr"" class=""js""><!-- <![endif]-->",2026-07-09,2026-07-09T11:11:49.760530,title,high,document_date,2016-03-25,high,,,derived,,base_or_unknown,https://ctsv.uit.edu.vn/sites/default/files/201604/06_qd_dhcntt_ctsv25_3_2016_scan.pdf,unchecked,false,metadata_file_path,from_metadata
